abs 2.4.4-2
acl 2.2.52-2
acpid 2.0.28-1
adwaita-icon-theme 3.22.0-1
alsa-lib 1.1.2-1
alsa-plugins 1.1.1-1
apparmor-libapparmor 2.10.1-1
apparmor-pam 2.10.1-1
apparmor-parser 2.10.1-1
apparmor-profiles 2.10.1-1
apparmor-utils 2.10.1-1
apparmor-vim 2.10.1-1
archlinux-keyring 20161021-1
aspell 0.60.6.1-5
at-spi2-atk 2.22.0-1
at-spi2-core 2.22.0-1
atk 2.22+1+gd57f97d-1
atkmm 2.24.2-2
attr 2.4.47-1
audiofile 0.3.6-3
audit 2.6.6-1
autoconf 2.69-4
automake 1.15-2
avahi 0.6.32-2
babl 0.1.18-1
bash 4.3.046-1
bc 1.06.95-2
binutils 2.27-1
bison 3.0.4-2
blas 3.6.1-2
boost-libs 1.62.0-2
bzip2 1.0.6-5
bzr 2.7.0-1
ca-certificates 20160507-1
ca-certificates-cacert 20140824-3
ca-certificates-mozilla 3.27.1-1
ca-certificates-utils 20160507-1
cairo 1.14.6-2
cairomm 1.12.0-2
cblas 3.6.1-2
cdparanoia 10.2-5
cifs-utils 6.5-1
clang 3.9.0-1
clucene 2.3.3.4-9
cmake 3.6.2-2
colord 1.3.3-1
compositeproto 0.4.2-3
confuse 2.8-2
coreutils 8.25-2
cracklib 2.9.6-1
cronie 1.5.1-1
cryptsetup 1.7.2-1
cups 2.2.1-1
cups-filters 1.11.5-1
curl 7.50.3-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.12-1
dbus-glib 0.106-1
dconf 0.26.0-2
desktop-file-utils 0.23-1
device-mapper 2.02.166-1
dhcpcd 6.11.3-1
diffutils 3.5-1
discord 0.0.8-1
dmenu 4.6-1
dmxproto 2.3.1-3
dnssec-anchors 20150403-1
docbook-xml 4.5-6
docbook-xsl 1.79.1-1
e2fsprogs 1.43.3-1
elfutils 0.167-1
enchant 1.6.0-8
etckeeper 1.18.5-1
expat 2.2.0-2
faad2 2.7-4
fakeroot 1.21-2
feh 2.17-1
